COURSECODE,COURSENAME,COURSENAMEENG,CREDITTOTAL
852162,งานศิลปะประยุกต์,APPLIED ARTS WORKS,2
853161,ศิลปหัตถกรรมเครื่องเคลือบดินเผาเพื่อการพาณิชย์,CERAMIC ART AND CRAFT FOR COMMERCIAL,3
854163,ศิลปะภาพพิมพ์ตะแกรงไหม,SILK-SCREEN PRINTMAKING ART,2
870151,การออกแบบการ์ตูน,CARTOON DESIGN,3
870152,การออกแบบของที่ระลึก,SOUVENIR DESIGN,3
870154,การออกแบบโฆษณา,ADVERTISING DESIGN,3
962101,เศรษฐศาสตร์จุลภาคเบื้องต้น,PRELIMINARY MICROECONOMICS,3
967261,หลักการจัดการ,PRINCIPLES OF MANAGEMENT,3
967363,การจัดการธุรกิจขนาดกลางและขนาดย่อม,SMALL AND MEDIUM ENTERPRISES MANAGEMENT,3
AG103008,เรื่องมหัศจรรย์ของแมลงและแมงมุม,The Tales of Insects and Spiders,3
AG133005,พืชสวนสราญ,Amenity Horticulture,3
AG133006,การผลิตกัญชง และกัญชาเพื่อการแพทย์ และอุตสาหกรรมที่เกี่ยวข้อง,Hemp and Marijuana Production for Medical and Related Industries,3
AG134002,พืชเครื่องเทศและสมุนไพร,SPICE AND MEDICINAL PLANTS PRODUCTION,3
AG143404,อุตุนิยมวิทยาเกษตร,AGRICULTURAL METEOROLOGY,3
AG143411,ธัญพืช,CEREAL CROPS,2
AG173303,การผลิตสัตว์เคี้ยวเอื้องขนาดเล็ก,SMALL RUMINANT PRODUCTION,3
AG173334,พฤติกรรมและสวัสดิภาพของสัตว์เลี้ยง,BEHAVIOR AND WELFARE OF DOMESTIC ANIMALS,3
AG173371,การจัดการอนุรักษ์สัตว์ป่า,WILDLIFE CONSERVATION MANAGEMENT,3
BS931111,หลักการตลาด,PRINCIPLE OF MARKETING,3
BS952261,หลักการจัดการ,PRINCIPLES OF MANAGEMENT,3
BS953363,การจัดการธุรกิจขนาดกลางและขนาดย่อม,SMALL AND MEDIUM ENTERPRISES MANAGEMENT,3
CP001001,เอ บี ซี ดี สำหรับทุกวิชาชีพ,ABCD for All Professions,3
CP350001,การเขียนโปรแกรมคอมพิวเตอร์ 1,Computer Programming I,3
CP350002,โครงสร้างข้อมูล,Data Structure,3
CP351001,วิทยาการคอมพิวเตอร์หลักมูล,Fundamental Computer Science,3
CP351002,การเขียนโปรแกรมเชิงโครงสร้างสำหรับวิทยาการคอมพิวเตอร์,Structure Programming Languages for Computer Science,3
CP351003,การเขียนโปรแกรมเชิงวัตถุ,Object Oriented Programming,3
CP351004,สถาปัตยกรรมคอมพิวเตอร์,Computer Architecture,3
CP351101,วิทยาการคำนวณ,Computational Science,3
CP351202,องค์ประกอบของการพัฒนาโมบายแอปพลิเคชัน,Elements of Mobile Application Development,3
CP352001,โครงสร้างข้อมูล,Data Structure,3
CP352002,การออกแบบประสบการณ์ผู้ใช้,User Experience Design,3
CP352101,วิทยาการข้อมูลขั้นแนะนำ,Introduction to Data Science,3
CP352107,การประมวลผลภาษาพูด,Spoken Language Processing,3
CP352201,เทคโนโลยีการออกแบบเว็บ,Web Design Technologies,3
CP353109,การประมวลผลภาษาธรรมชาติ,Natural Language Processing,3
CP353205,การพัฒนาแอปพลิเคชันด้านภูมิสารสนเทศ,Geo-Informatics Application Development,3
CP353305,อินเทอร์เน็ตของสรรพสิ่ง,Internet of Things,3
CP362104,วิศวกรรมข้อมูลขั้นพื้นฐาน,Basics of Data Engineering,3
CP363205,ภาษาอนุกรมข้อมูลและการประยุกต์,Data Serialization Languages and Applications,3
CP371001,หลักมูลภูมิสารสนเทศศาสตร์,Fundamentals of Geo-informatics,3
CP371031,เทคโนโลยีสารสนเทศขั้นพื้นฐาน,Basics of Information Technology,3
CP371041,ภูมิศาสตร์กายภาพ,Physical Geography,3
CP372002,ระบบสารสนเทศภูมิศาสตร์ขั้นแนะนำ,Introduction to Geographic Information System,3
CP372011,หลักมูลการรับรู้จากระยะไกล,Fundamentals of Remote Sensing,3
CP411105,ระบบคอมพิวเตอร์,Computer Systems,3
CP411106,การเขียนโปรแกรมสำหรับการเรียนรู้ของเครื่อง,Programming for Machine Learning,3
CP411701,แรงบันดาลใจของปัญญาประดิษฐ์,Artificial Intelligence Inspiration,2
CP421011,ความบันดาลใจในวิชาชีพความมั่นคงปลอดภัยไซเบอร์,Inspiration in Cybersecurity Career,1
CP421021,การเขียนโปรแกรมเชิงโครงสร้าง,Structured Programming,3
CP422001,กฏหมายและจริยธรรมด้านความมั่นคงปลอดภัยไซเบอร์,Cybersecurity Law and Ethic,3
ED060001,กิจกรรมพลศึกษา (แบดมินตัน),PHYSICAL EDUCATION ACTIVITY (BADMINTON),1
ED060003,กิจกรรมพลศึกษา (มวย),PHYSICAL EDUCATION ACTIVITY (BOXING),1
ED060006,กิจกรรมพลศึกษา (จ๊อกกิ้ง),PHYSICAL EDUCATION ACTIVITY (JOGGING),1
ED060013,กิจกรรมพลศึกษา (เทนนิส),PHYSICAL EDUCATION ACTIVITY (TENNIS),1
ED060016,กิจกรรมพลศึกษา (เทเบิลเทนนิส),PHYSICAL EDUCATION ACTIVITY (TABLE TENNIS),1
ED060020,กิจกรรมพลศึกษา (แอโรบิกดานซ์),PHYSICAL EDUCATION ACTIVITY (AEROBIC DANCE),1
